Type	Total	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed
Steel	508	110	135	60	50	65	88
Steel	495	70	135	105	60	105	20
Steel	305	44	50	91	24	86	10
Steel	489	74	94	131	54	116	20
Steel	340	45	85	70	40	40	60
Steel	490	65	125	100	60	70	70
Steel	484	58	109	112	48	48	109
Steel	600	71	120	95	120	95	99
Rock	355	35	40	100	90	55	35
Rock	495	70	60	125	115	70	55
Rock	355	30	80	90	55	45	55
Rock	495	60	115	105	65	70	80
Rock	306	42	52	67	39	56	50
Rock	500	72	105	115	54	86	68
Rock	350	30	42	118	42	88	30
Rock	495	60	52	168	47	138	30
Rock	525	60	55	145	75	150	40
Rock	440	70	55	65	95	85	70
Rock	440	70	95	85	55	65	70
Rock	362	77	59	50	67	63	46
Rock	521	123	77	72	99	92	58
Rock	300	40	80	100	30	30	20
Rock	390	55	95	115	45	45	35
Rock	495	80	120	130	55	65	45
Rock	385	35	45	160	30	45	70
Rock	300	50	64	50	45	50	41
Rock	410	70	84	70	65	70	51
Rock	355	66	41	77	61	87	23
Rock	495	86	81	97	81	107	43
Rock	515	80	105	65	60	75	130
Rock	615	80	135	85	70	95	150
Rock	401	55	112	45	74	45	70
Rock	567	75	140	65	112	65	110
Rock	500	50	50	150	50	150	50
Rock	362	58	89	77	45	45	48
Rock	521	82	121	119	69	59	71
Rock	600	100	134	110	95	100	61
Rock	700	100	164	150	95	120	71
Rock	355	45	95	50	40	50	75
Rock	495	75	125	100	70	80	45
Rock	410	70	100	115	30	65	30
Rock	375	30	45	135	45	90	30
Rock	350	67	125	40	30	30	58
Rock	495	97	165	60	65	50	58
Rock	290	50	80	95	10	45	10
Rock	280	55	75	85	25	25	15
Rock	390	70	105	105	50	40	20
Rock	515	85	135	130	60	80	25
Rock	345	80	85	95	30	30	25
Rock	485	105	130	120	45	45	40
Rock	505	20	10	230	10	230	5
Rock	410	50	50	120	80	80	30
Rock	380	55	55	85	65	85	35
Rock	330	50	70	100	40	40	30
Rock	430	60	90	140	50	50	40
Rock	530	70	110	180	60	60	50
Rock	485	100	90	130	45	65	55
Rock	535	115	140	130	55	55	40
Rock	325	50	65	85	35	35	55
Rock	475	70	95	125	65	75	45
Rock	355	54	78	103	53	45	22
Rock	495	74	108	133	83	65	32
Psychic	600	100	100	100	100	100	100
Psychic	320	40	50	45	70	45	70
Psychic	470	65	75	70	95	70	95
Psychic	313	55	45	43	55	43	72
Psychic	425	67	57	55	77	55	114
Psychic	490	72	58	80	103	80	97
Psychic	518	68	125	65	65	115	80
Psychic	618	68	165	95	65	115	110
Psychic	460	40	45	65	100	120	90
Psychic	198	28	25	25	45	35	40
Psychic	278	38	35	35	65	55	50
Psychic	518	68	65	65	125	115	80
Psychic	618	68	85	65	165	135	100
Psychic	310	20	25	45	70	90	60
Psychic	310	25	20	15	105	55	90
Psychic	400	40	35	30	120	70	105
Psychic	500	55	50	45	135	95	120
Psychic	590	55	50	65	175	95	150
Psychic	328	60	48	45	43	90	42
Psychic	483	85	73	70	73	115	67
Psychic	600	100	100	100	100	100	100
Psychic	525	65	65	60	130	95	110
Psychic	336	48	72	48	72	48	48
Psychic	405	190	33	58	33	58	33
Psychic	330	60	25	35	70	80	60
Psychic	470	80	45	65	90	110	80
Psychic	425	65	50	70	95	80	65
Psychic	260	95	23	48	23	48	23
Psychic	285	45	30	50	65	50	45
Psychic	600	120	70	120	75	130	85
Psychic	292	76	25	45	67	55	24
Psychic	487	116	55	85	107	95	29
Psychic	290	45	30	50	55	65	45
Psychic	390	60	45	70	75	85	55
Psychic	490	70	55	95	95	110	65
Psychic	290	45	30	40	105	50	20
Psychic	370	65	40	50	125	60	30
Psychic	490	110	65	75	125	85	30
Psychic	335	55	55	55	85	55	30
Psychic	485	75	75	75	125	95	40
Psychic	355	62	48	54	63	60	68
Psychic	466	74	48	76	83	81	104
Psychic	466	74	48	76	83	81	104
Psychic	315	90	65	65	40	40	15
Psychic	490	95	75	110	100	80	30
Psychic	590	95	75	180	130	80	30
Psychic	325	60	40	80	60	45	40
Psychic	520	95	95	85	125	65	55
Psychic	520	60	75	85	100	85	115
Psychic	455	65	50	35	115	95	95
Psychic	490	95	75	80	100	110	30
Psychic	455	70	80	65	90	65	85
Psychic	305	45	30	15	85	65	65
Psychic	280	30	40	55	40	55	60
Psychic	410	60	60	75	60	75	80
Psychic	510	60	100	85	80	85	100
Psychic	440	70	55	65	95	85	70
Psychic	440	70	95	85	55	65	70
Psychic	300	40	40	55	40	70	55
Psychic	500	60	70	105	70	120	75
Psychic	300	40	55	80	35	60	30
Psychic	420	60	75	100	55	80	50
Psychic	600	80	135	130	95	90	70
Psychic	700	80	145	150	105	110	110
Psychic	300	57	24	86	24	86	23
Psychic	500	67	89	116	79	116	33
Psychic	540	105	30	105	140	105	55
Psychic	600	100	77	77	128	128	90
Psychic	534	75	69	72	114	100	104
Psychic	288	53	54	53	37	46	45
Psychic	482	86	92	88	68	75	73
Poison	320	50	60	60	60	60	30
Poison	505	90	92	87	75	85	76
Poison	505	81	102	77	85	75	85
Poison	245	40	45	35	30	40	55
Poison	455	75	80	70	65	75	90
Poison	535	85	90	80	70	80	130
Poison	300	48	61	40	61	40	50
Poison	490	83	106	65	86	65	85
Poison	494	65	75	90	97	123	44
Poison	329	63	63	47	41	41	74
Poison	479	103	93	67	71	61	84
Poison	500	70	90	110	60	75	95
Poison	330	40	50	90	30	55	65
Poison	288	35	60	44	40	54	55
Poison	438	60	85	69	65	79	80
Poison	275	55	47	52	40	40	41
Poison	365	70	62	67	55	55	56
Poison	273	46	57	40	40	40	50
Poison	365	61	72	57	55	55	65
Poison	325	80	80	50	40	50	25
Poison	500	105	105	75	65	100	50
Poison	340	40	65	95	60	45	35
Poison	490	65	90	120	85	70	60
Poison	302	70	43	53	43	53	40
Poison	467	100	73	83	73	83	55
Poison	458	73	100	60	100	60	65
Poison	329	50	50	62	40	62	65
Poison	474	80	95	82	60	82	75
Poison	318	45	49	49	65	65	45
Poison	405	60	62	63	80	80	60
Poison	525	80	82	83	100	100	80
Poison	625	80	100	123	122	120	80
Poison	195	40	35	30	20	20	50
Poison	205	45	25	50	25	25	35
Poison	395	65	90	40	45	80	75
Poison	495	65	150	40	15	80	145
Poison	320	45	50	55	75	65	30
Poison	395	60	65	70	85	75	40
Poison	490	75	80	85	110	90	50
Poison	305	60	55	50	40	55	45
Poison	450	70	65	60	90	75	90
Poison	300	50	75	35	70	30	40
Poison	390	65	90	50	85	45	55
Poison	490	80	105	65	100	70	70
Poison	335	40	40	35	50	100	70
Poison	515	80	70	65	80	120	100
Poison	310	30	35	30	100	35	80
Poison	405	45	50	45	115	55	95
Poison	500	60	65	60	130	75	110
Poison	600	60	65	80	170	95	130
Poison	250	40	60	40	40	40	30
Poison	390	70	90	70	60	60	40
Poison	430	65	95	75	55	55	85
Poison	385	60	50	70	50	90	65
Poison	400	50	60	45	100	80	65
Poison	280	40	30	35	50	70	55
Poison	515	60	70	65	125	105	90
Poison	260	30	45	59	30	39	57
Poison	360	40	55	99	40	79	47
Poison	485	60	100	89	55	69	112
Poison	294	69	55	45	55	55	15
Poison	464	114	85	70	85	80	30
Normal	410	79	85	60	55	60	71
Normal	455	70	80	65	90	65	85
Normal	600	100	77	77	128	128	90
Normal	423	85	56	77	50	77	78
Normal	335	60	60	50	40	50	75
Normal	475	80	100	70	60	70	95
Normal	251	40	45	40	35	35	56
Normal	349	63	60	55	50	50	71
Normal	479	83	80	75	70	70	101
Normal	579	83	80	80	135	80	121
Normal	262	40	60	30	31	31	70
Normal	442	65	90	65	61	61	100
Normal	352	52	65	55	58	62	60
Normal	310	35	85	45	35	35	75
Normal	460	60	110	70	60	60	100
Normal	262	60	30	30	36	56	50
Normal	442	100	50	50	76	96	70
Normal	270	40	55	30	30	30	85
Normal	430	60	85	60	50	50	125
Normal	310	45	40	60	40	75	50
Normal	245	40	55	30	30	30	60
Normal	340	55	75	50	40	40	80
Normal	485	85	120	70	50	60	100
Normal	411	76	65	45	92	42	91
Normal	264	50	55	50	36	30	43
Normal	358	62	77	62	50	42	65
Normal	488	80	115	80	65	55	93
Normal	350	70	83	50	37	50	60
Normal	510	100	123	75	57	75	80
Normal	278	45	50	43	40	38	62
Normal	580	65	136	94	54	96	135
Normal	600	100	128	90	77	77	128
Normal	270	115	45	20	45	25	20
Normal	435	140	70	45	85	50	45
Normal	210	90	30	15	40	20	15
Normal	190	50	20	40	20	40	20
Normal	545	103	60	126	80	126	50
Normal	253	30	56	35	25	35	72
Normal	413	55	81	60	50	70	97
Normal	290	40	45	35	40	40	90
Normal	440	65	70	60	65	65	115
Normal	385	90	55	75	60	75	30
Normal	450	250	5	5	35	105	50
Normal	490	105	95	80	40	80	90
Normal	590	105	125	100	60	100	100
Normal	490	75	100	95	40	70	110
Normal	288	48	48	48	48	48	48
Normal	325	55	55	50	45	65	55
Normal	395	65	60	70	85	75	40
Normal	540	160	110	65	65	110	30
Normal	215	35	46	34	35	45	20
Normal	415	85	76	64	45	55	90
Normal	360	55	70	55	40	55	85
Normal	415	100	70	70	65	65	45
Normal	330	60	80	50	50	50	40
Normal	500	90	130	75	75	75	55
Normal	515	85	80	90	105	95	60
Normal	465	73	95	62	85	65	85
Normal	250	55	20	35	20	45	75
Normal	490	95	80	105	40	70	100
Normal	540	255	10	10	75	135	55
Normal	240	38	30	41	30	41	60
Normal	420	78	70	61	50	61	100
Normal	280	60	60	60	35	35	30
Normal	440	80	80	80	55	55	90
Normal	670	150	160	100	95	65	100
Normal	240	64	51	23	51	23	28
Normal	360	84	71	43	71	43	48
Normal	490	104	91	63	91	73	68
Normal	260	50	45	45	35	35	50
Normal	380	70	65	65	55	55	70
Normal	360	60	60	60	60	60	60
Normal	458	73	115	60	60	60	90
Normal	420	70	70	70	70	70	70
Normal	440	60	90	70	60	120	40
Normal	250	59	45	40	35	40	31
Normal	482	75	100	66	60	66	115
Normal	350	55	66	44	44	56	85
Normal	480	65	76	84	54	96	105
Normal	310	49	55	42	42	37	85
Normal	452	71	82	64	64	59	112
Normal	220	100	5	5	15	65	30
Normal	390	135	85	40	40	85	5
Normal	515	110	85	95	80	95	50
Normal	535	85	80	70	135	75	90
Normal	255	45	55	39	35	39	42
Normal	420	60	85	69	60	69	77
Normal	275	45	60	45	25	45	55
Normal	370	65	80	65	35	65	60
Normal	500	85	110	90	45	90	80
Normal	445	103	60	86	60	86	50
Normal	300	55	50	40	40	40	75
Normal	470	75	95	60	65	60	115
Normal	490	95	110	95	40	95	55
Normal	237	38	36	38	32	36	57
Normal	472	75	80	60	65	90	102
Normal	369	62	50	58	73	54	72
Normal	507	86	68	72	109	66	106
Normal	289	44	38	33	61	43	70
Normal	481	62	55	52	109	94	109
Ice	290	70	40	50	55	50	25
Ice	410	90	60	70	75	70	45
Ice	530	110	80	90	95	90	65
Ice	455	65	50	35	115	95	95
Ice	305	45	30	15	85	65	65
Ice	250	50	50	40	30	30	50
Ice	450	100	100	80	60	60	50
Ice	530	110	130	80	70	60	80
Ice	480	70	80	70	80	70	110
Ice	330	45	55	45	65	45	75
Ice	300	50	50	50	50	50	50
Ice	480	80	80	80	80	80	80
Ice	580	80	120	80	120	80	100
Ice	525	65	60	110	130	95	65
Ice	305	36	50	50	65	60	44
Ice	395	51	65	65	80	75	59
Ice	535	71	95	85	110	95	79
Ice	305	55	70	40	60	40	40
Ice	485	95	110	80	70	80	50
Ice	485	70	50	30	95	135	105
Ice	304	55	69	85	32	35	28
Ice	514	95	117	184	44	46	28
Ice	475	90	70	80	70	95	70
Ice	525	50	95	180	85	45	70
Ice	535	130	85	80	85	95	60
Ice	430	55	95	55	35	75	115
Ice	334	60	62	50	62	60	40
Ice	494	90	92	75	92	85	60
Ice	594	90	132	105	132	105	30
Ice	510	70	120	65	45	85	125
Ice	520	50	65	107	105	107	86
Ice	362	77	59	50	67	63	46
Ice	521	123	77	72	99	92	58
Ground	508	110	135	60	50	65	88
Ground	345	80	85	95	30	30	25
Ground	485	105	130	120	45	45	40
Ground	535	115	140	130	55	55	40
Ground	300	40	40	55	40	70	55
Ground	500	60	70	105	70	120	75
Ground	303	59	74	50	35	50	35
Ground	483	89	124	80	55	80	55
Ground	430	65	75	105	35	65	85
Ground	510	75	95	125	45	75	95
Ground	471	109	66	84	81	99	32
Ground	340	50	70	50	50	50	70
Ground	520	80	100	80	80	80	100
Ground	292	50	72	35	35	35	65
Ground	351	60	82	45	45	45	74
Ground	519	95	117	80	65	70	92
Ground	300	50	75	85	20	30	40
Ground	450	75	100	110	45	55	65
Ground	265	10	55	25	35	45	95
Ground	405	35	80	50	50	70	120
Ground	320	50	50	95	40	50	35
Ground	425	60	80	110	50	80	45
Ground	330	90	60	60	40	40	40
Ground	500	90	120	120	60	60	50
Ground	290	45	100	45	45	45	10
Ground	330	68	72	78	38	42	32
Ground	525	108	112	118	68	72	47
Ground	328	60	85	40	30	45	68
Ground	505	90	92	87	75	85	76
Ground	505	81	102	77	85	75	85
Ground	300	40	80	100	30	30	20
Ground	390	55	95	115	45	45	35
Ground	495	80	120	130	55	65	45
Ground	385	35	45	160	30	45	70
Ground	210	55	45	45	25	25	15
Ground	430	95	85	85	65	65	35
Ground	510	75	85	200	55	65	30
Ground	610	75	125	230	55	95	30
Ground	250	50	50	40	30	30	50
Ground	450	100	100	80	60	60	50
Ground	300	50	64	50	45	50	41
Ground	410	70	84	70	65	70	51
Ground	405	70	85	70	60	70	50
Ground	535	100	110	90	85	90	60
Ground	635	100	150	110	95	110	70
Ground	266	31	45	90	30	30	40
Ground	305	60	60	40	65	45	35
Ground	460	70	100	70	105	75	40
Ground	560	70	120	100	145	105	20
Ground	288	50	48	43	46	41	60
Ground	468	110	78	73	76	71	60
Ground	525	95	109	105	75	85	56
Ground	424	60	79	105	59	85	36
Ground	475	111	83	68	92	82	39
Ground	300	58	70	45	40	45	42
Ground	410	68	90	65	50	55	82
Ground	600	108	130	95	80	85	102
Ground	700	108	170	115	120	95	92
Ground	530	110	130	80	70	60	80
Ground	384	75	65	55	65	55	69
Ground	509	105	95	75	85	75	74
Ground	423	85	56	77	50	77	78
Grass	305	44	50	91	24	86	10
Grass	489	74	94	131	54	116	20
Grass	325	60	40	80	60	45	40
Grass	520	95	95	85	125	65	55
Grass	318	45	49	49	65	65	45
Grass	405	60	62	63	80	80	60
Grass	525	80	82	83	100	100	80
Grass	625	80	100	123	122	120	80
Grass	320	45	50	55	75	65	30
Grass	395	60	65	70	85	75	40
Grass	490	75	80	85	110	90	50
Grass	300	50	75	35	70	30	40
Grass	390	65	90	50	85	45	55
Grass	490	80	105	65	100	70	70
Grass	400	50	60	45	100	80	65
Grass	280	40	30	35	50	70	55
Grass	515	60	70	65	125	105	90
Grass	294	69	55	45	55	55	15
Grass	464	114	85	70	85	80	30
Grass	334	60	62	50	62	60	40
Grass	494	90	92	75	92	85	60
Grass	594	90	132	105	132	105	30
Grass	525	95	109	105	75	85	56
Grass	250	35	35	40	35	55	50
Grass	340	55	45	50	45	65	80
Grass	460	75	55	70	55	95	110
Grass	460	99	68	83	72	87	51
Grass	460	60	130	80	60	60	70
Grass	530	88	107	122	74	75	64
Grass	280	40	27	60	37	50	66
Grass	480	60	67	85	77	75	116
Grass	630	70	110	75	145	85	145
Grass	340	70	70	40	60	40	60
Grass	480	90	100	60	90	60	80
Grass	475	70	115	60	115	60	55
Grass	435	65	55	115	100	40	60
Grass	318	45	49	65	49	65	45
Grass	405	60	62	80	63	80	60
Grass	525	80	82	100	83	100	80
Grass	490	75	80	95	90	100	50
Grass	180	30	30	30	30	30	30
Grass	425	75	75	55	105	85	30
Grass	310	40	45	35	65	55	70
Grass	405	50	65	45	85	65	95
Grass	530	70	85	65	105	85	120
Grass	220	40	40	50	30	30	30
Grass	295	60	40	60	40	60	35
Grass	335	50	85	40	85	40	35
Grass	318	55	68	64	45	55	31
Grass	405	75	89	85	55	65	36
Grass	275	45	35	45	62	53	35
Grass	450	70	60	70	87	78	85
Grass	454	74	100	72	90	72	46
Grass	535	100	100	125	110	50	50
Grass	525	65	110	130	60	65	95
Grass	308	45	45	55	45	55	63
Grass	413	60	60	75	60	75	83
Grass	528	75	75	95	75	95	113
Grass	316	50	53	48	53	48	64
Grass	498	75	98	63	98	63	101
Grass	280	45	35	50	70	50	30
Grass	480	70	60	75	110	75	90
Grass	461	75	86	67	106	67	60
Grass	313	56	61	65	48	45	38
Grass	405	61	78	95	56	58	57
Grass	350	66	65	48	62	57	52
Grass	531	123	100	62	97	81	68
Grass	285	35	70	55	45	55	25
Grass	405	60	95	80	60	80	30
Grass	600	100	100	100	100	100	100
Grass	220	40	30	30	40	50	30
Grass	340	60	50	50	60	70	50
Grass	480	80	70	70	90	100	70
Grass	355	66	41	77	61	87	23
Grass	495	86	81	97	81	107	43
Grass	424	60	59	85	79	105	36
Grass	520	50	65	107	105	107	86
Grass	310	45	53	70	40	60	42
Grass	380	55	63	90	50	80	42
Grass	500	75	103	80	70	80	92
Grass	335	60	60	50	40	50	75
Grass	475	80	100	70	60	70	95
Grass	309	43	70	48	50	60	38
Grass	474	85	110	76	65	82	56
Grass	335	49	66	70	44	55	51
Grass	335	44	66	70	44	55	56
Grass	335	54	66	70	44	55	46
Grass	335	59	66	70	44	55	41
Grass	494	65	90	122	58	75	84
Grass	494	55	85	122	58	75	99
Grass	494	75	95	122	58	75	69
Grass	494	85	100	122	58	75	54
Ghost	310	30	35	30	100	35	80
Ghost	405	45	50	45	115	55	95
Ghost	500	60	65	60	130	75	110
Ghost	600	60	65	80	170	95	130
Ghost	309	43	70	48	50	60	38
Ghost	474	85	110	76	65	82	56
Ghost	335	49	66	70	44	55	51
Ghost	335	44	66	70	44	55	56
Ghost	335	54	66	70	44	55	46
Ghost	335	59	66	70	44	55	41
Ghost	494	65	90	122	58	75	84
Ghost	494	55	85	122	58	75	99
Ghost	494	75	95	122	58	75	69
Ghost	494	85	100	122	58	75	54
Ghost	348	90	50	34	60	44	70
Ghost	498	150	80	44	90	54	80
Ghost	275	50	30	55	65	55	20
Ghost	370	60	40	60	95	60	55
Ghost	520	60	55	90	145	90	80
Ghost	485	50	92	108	92	108	35
Ghost	435	60	60	60	85	85	85
Ghost	295	44	75	35	63	33	45
Ghost	455	64	115	65	83	63	65
Ghost	555	64	165	75	93	83	75
Ghost	295	20	40	90	30	90	25
Ghost	455	40	70	130	60	130	25
Ghost	495	60	60	60	105	105	105
Ghost	525	45	100	135	65	135	45
Ghost	303	38	30	85	55	65	30
Ghost	483	58	50	145	95	105	30
Ghost	236	1	90	45	30	30	40
Ghost	380	50	75	75	65	65	50
Ghost	480	50	85	125	85	115	20
Ghost	480	70	80	70	80	70	110
Ghost	440	50	50	77	95	77	91
Ghost	335	55	40	50	65	85	40
Ghost	480	100	60	70	85	105	60
Ghost	303	59	74	50	35	50	35
Ghost	483	89	124	80	55	80	55
Ghost	325	45	80	100	35	37	28
Ghost	448	59	110	150	45	49	35
Ghost	520	60	150	50	150	50	60
Ghost	520	60	50	150	50	150	60
Flying	245	40	30	35	45	40	55
Flying	535	85	70	80	97	80	123
Flying	534	78	84	78	109	85	100
Flying	634	78	104	78	159	115	100
Flying	395	60	45	50	90	80	70
Flying	251	40	45	40	35	35	56
Flying	349	63	60	55	50	50	71
Flying	479	83	80	75	70	70	101
Flying	579	83	80	80	135	80	121
Flying	262	40	60	30	31	31	70
Flying	442	65	90	65	61	61	100
Flying	245	40	45	35	30	40	55
Flying	455	75	80	70	65	75	90
Flying	352	52	65	55	58	62	60
Flying	310	35	85	45	35	35	75
Flying	460	60	110	70	60	60	100
Flying	500	70	110	80	55	80	105
Flying	600	65	155	120	65	90	105
Flying	540	95	125	79	60	100	81
Flying	515	80	105	65	60	75	130
Flying	615	80	135	85	70	95	150
Flying	600	91	134	95	100	100	80
Flying	262	60	30	30	36	56	50
Flying	442	100	50	50	76	96	70
Flying	265	40	20	30	40	80	55
Flying	390	55	35	50	55	110	85
Flying	535	85	90	80	70	80	130
Flying	405	55	40	85	80	105	40
Flying	320	40	50	45	70	45	70
Flying	470	65	75	70	95	70	95
Flying	250	35	35	40	35	55	50
Flying	340	55	45	50	45	65	80
Flying	460	75	55	70	55	95	110
Flying	390	65	65	45	75	45	95
Flying	405	60	85	42	85	42	91
Flying	430	65	75	105	35	65	85
Flying	330	45	55	45	65	45	75
Flying	465	65	40	70	80	140	70
Flying	465	65	80	140	40	70	70
Flying	395	60	70	50	100	50	65
Flying	270	40	55	30	30	30	85
Flying	430	60	85	60	50	50	125
Flying	270	40	30	30	55	30	85
Flying	430	60	50	100	85	70	65
Flying	414	70	60	62	80	82	60
Flying	456	61	90	45	50	50	160
Flying	310	45	40	60	40	75	50
Flying	490	75	70	90	70	105	80
Flying	460	99	68	83	72	87	51
Flying	600	95	135	80	110	80	100
Flying	700	95	145	130	120	90	120
Flying	245	40	55	30	30	30	60
Flying	340	55	75	50	40	40	80
Flying	485	85	120	70	50	60	100
Flying	424	70	94	50	94	50	66
Flying	244	30	30	42	30	42	70
Flying	474	70	80	102	80	102	40
Flying	348	90	50	34	60	44	70
Flying	498	150	80	44	90	54	80
Flying	505	100	125	52	105	52	71
Flying	411	76	65	45	92	42	91
Flying	345	45	20	50	60	120	50
Flying	545	85	50	95	120	115	80
Flying	515	86	76	86	116	56	95
Flying	510	75	95	125	45	75	95
Flying	520	50	65	107	105	107	86
Flying	264	50	55	50	36	30	43
Flying	358	62	77	62	50	42	65
Flying	488	80	115	80	65	55	93
Flying	313	55	45	43	55	43	72
Flying	425	67	57	55	77	55	114
Flying	490	72	58	80	103	80	97
Flying	401	55	112	45	74	45	70
Flying	567	75	140	65	112	65	110
Flying	305	62	44	50	44	50	55
Flying	473	75	87	63	87	63	98
Flying	428	55	75	60	75	60	103
Flying	350	70	83	50	37	50	60
Flying	510	100	123	75	57	75	80
Flying	370	70	55	75	45	65	60
Flying	510	110	65	105	55	95	80
Flying	278	45	50	43	40	38	62
Flying	382	62	73	55	56	52	84
Flying	499	78	81	71	74	69	126
Flying	411	80	52	50	90	50	89
Flying	500	78	92	75	74	63	118
Fire	410	50	50	120	80	80	30
Fire	540	105	30	105	140	105	55
Fire	534	75	69	72	114	100	104
Fire	369	62	50	58	73	54	72
Fire	507	86	68	72	109	66	106
Fire	305	60	60	40	65	45	35
