Type	Total	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed
Steel	508	110	135	60	50	65	88
Steel	495	70	135	105	60	105	20
Steel	305	44	50	91	24	86	10
Steel	489	74	94	131	54	116	20
Steel	340	45	85	70	40	40	60
Steel	490	65	125	100	60	70	70
Steel	484	58	109	112	48	48	109
Steel	600	71	120	95	120	95	99
Grass	305	44	50	91	24	86	10
Grass	489	74	94	131	54	116	20
Grass	325	60	40	80	60	45	40
Grass	520	95	95	85	125	65	55
Grass	318	45	49	49	65	65	45
Grass	405	60	62	63	80	80	60
Grass	525	80	82	83	100	100	80
Grass	625	80	100	123	122	120	80
Grass	320	45	50	55	75	65	30
Grass	395	60	65	70	85	75	40
Grass	490	75	80	85	110	90	50
Grass	300	50	75	35	70	30	40
Grass	390	65	90	50	85	45	55
Grass	490	80	105	65	100	70	70
Grass	400	50	60	45	100	80	65
Grass	280	40	30	35	50	70	55
Grass	515	60	70	65	125	105	90
Grass	294	69	55	45	55	55	15
Grass	464	114	85	70	85	80	30
Grass	334	60	62	50	62	60	40
Grass	494	90	92	75	92	85	60
Grass	594	90	132	105	132	105	30
Grass	525	95	109	105	75	85	56
Grass	250	35	35	40	35	55	50
Grass	340	55	45	50	45	65	80
Grass	460	75	55	70	55	95	110
Grass	460	99	68	83	72	87	51
Grass	460	60	130	80	60	60	70
Grass	530	88	107	122	74	75	64
Grass	280	40	27	60	37	50	66
Grass	480	60	67	85	77	75	116
Grass	630	70	110	75	145	85	145
Grass	340	70	70	40	60	40	60
Grass	480	90	100	60	90	60	80
Grass	475	70	115	60	115	60	55
Grass	435	65	55	115	100	40	60
Grass	318	45	49	65	49	65	45
Grass	405	60	62	80	63	80	60
Grass	525	80	82	100	83	100	80
Grass	490	75	80	95	90	100	50
Grass	180	30	30	30	30	30	30
Grass	425	75	75	55	105	85	30
Grass	310	40	45	35	65	55	70
Grass	405	50	65	45	85	65	95
Grass	530	70	85	65	105	85	120
Grass	220	40	40	50	30	30	30
Grass	295	60	40	60	40	60	35
Grass	335	50	85	40	85	40	35
Grass	318	55	68	64	45	55	31
Grass	405	75	89	85	55	65	36
Grass	275	45	35	45	62	53	35
Grass	450	70	60	70	87	78	85
Grass	454	74	100	72	90	72	46
Grass	535	100	100	125	110	50	50
Grass	525	65	110	130	60	65	95
Grass	308	45	45	55	45	55	63
Grass	413	60	60	75	60	75	83
Grass	528	75	75	95	75	95	113
Grass	316	50	53	48	53	48	64
Grass	498	75	98	63	98	63	101
Grass	280	45	35	50	70	50	30
Grass	480	70	60	75	110	75	90
Grass	461	75	86	67	106	67	60
Grass	313	56	61	65	48	45	38
Grass	405	61	78	95	56	58	57
Grass	350	66	65	48	62	57	52
Grass	531	123	100	62	97	81	68
Grass	285	35	70	55	45	55	25
Grass	405	60	95	80	60	80	30
Grass	600	100	100	100	100	100	100
Grass	220	40	30	30	40	50	30
Grass	340	60	50	50	60	70	50
Grass	480	80	70	70	90	100	70
Grass	355	66	41	77	61	87	23
Grass	495	86	81	97	81	107	43
Grass	424	60	59	85	79	105	36
Grass	520	50	65	107	105	107	86
Grass	310	45	53	70	40	60	42
Grass	380	55	63	90	50	80	42
Grass	500	75	103	80	70	80	92
Grass	335	60	60	50	40	50	75
Grass	475	80	100	70	60	70	95
Grass	309	43	70	48	50	60	38
Grass	474	85	110	76	65	82	56
Grass	335	49	66	70	44	55	51
Grass	335	44	66	70	44	55	56
Grass	335	54	66	70	44	55	46
Grass	335	59	66	70	44	55	41
Grass	494	65	90	122	58	75	84
Grass	494	55	85	122	58	75	99
Grass	494	75	95	122	58	75	69
Grass	494	85	100	122	58	75	54
Fire	410	50	50	120	80	80	30
Fire	540	105	30	105	140	105	55
Fire	534	75	69	72	114	100	104
Fire	369	62	50	58	73	54	72
Fire	507	86	68	72	109	66	106
Fire	305	60	60	40	65	45	35
Fire	460	70	100	70	105	75	40
Fire	560	70	120	100	145	105	20
Fire	534	78	84	78	109	85	100
Fire	634	78	104	78	159	115	100
Fire	382	62	73	55	56	52	84
Fire	499	78	81	71	74	69	126
Fire	405	60	85	60	85	60	55
Fire	530	80	120	70	110	70	80
Fire	630	80	160	80	130	80	100
Fire	405	64	78	52	78	52	81
Fire	534	76	104	71	104	71	108
Fire	418	90	93	55	70	55	55
Fire	528	110	123	65	100	65	65
Fire	634	78	130	111	130	85	100
Fire	309	39	52	43	60	50	65
Fire	405	58	64	58	80	65	80
Fire	299	38	41	40	50	65	65
Fire	505	73	76	75	81	100	100
Fire	350	55	70	45	70	50	60
Fire	555	90	110	80	100	80	95
Fire	410	50	85	55	65	65	90
Fire	500	65	100	70	80	80	105
Fire	495	65	95	57	100	85	93
Fire	525	65	130	60	95	110	65
Fire	309	39	52	43	60	50	65
Fire	405	58	64	58	80	65	80
Fire	534	78	84	78	109	85	100
Fire	250	40	40	40	70	40	20
Fire	365	45	75	37	70	55	83
Fire	310	45	60	40	70	50	45
Fire	470	70	85	140	85	70	20
Fire	309	44	58	44	58	44	61
Fire	540	75	95	67	125	95	83
Fire	308	65	63	45	45	45	45
Fire	316	50	53	48	53	48	64
Fire	498	75	98	63	98	63	101
Fire	315	70	90	45	15	45	50
Fire	480	105	140	55	30	55	95
Fire	484	85	97	66	105	66	65
Fire	307	40	45	40	62	60	60
Fire	409	59	59	58	90	70	73
Fire	330	45	60	30	80	50	65
Fire	500	75	90	50	110	80	95
Fire	600	75	90	90	140	90	115
Fire	520	50	65	107	105	107	86
Fire	275	50	30	55	65	55	20
Fire	370	60	40	60	95	60	55
Fire	520	60	55	90	145	90	80
Fire	360	55	85	55	50	55	60
Fire	550	85	60	65	135	105	100
Electric	520	50	65	107	105	107	86
Electric	325	25	35	70	95	55	45
Electric	465	50	60	95	120	70	70
Electric	535	70	70	115	130	90	60
Electric	289	44	38	33	61	43	70
Electric	481	62	55	52	109	94	109
Electric	520	50	65	107	105	107	86
Electric	520	50	65	107	105	107	86
Electric	440	50	50	77	95	77	91
Electric	520	50	65	107	105	107	86
Electric	428	55	75	60	75	60	103
Electric	520	50	65	107	105	107	86
Electric	431	67	58	57	81	67	101
Electric	610	90	95	105	165	110	45
Electric	320	35	55	40	50	50	90
Electric	485	60	90	55	90	80	110
Electric	330	40	30	50	55	55	100
Electric	480	60	50	70	80	80	140
Electric	490	65	83	57	95	85	105
Electric	525	65	65	60	110	95	130
Electric	205	20	40	15	35	35	60
Electric	280	55	40	40	65	45	35
Electric	365	70	55	55	80	60	45
Electric	510	90	75	85	115	90	55
Electric	360	45	63	37	65	55	95
Electric	295	40	45	40	65	40	65
Electric	475	70	75	60	105	60	105
Electric	575	70	75	80	135	80	135
Electric	405	60	50	40	85	75	95
Electric	405	60	40	50	75	85	95
Electric	263	45	65	34	40	34	45
Electric	363	60	85	49	60	49	60
Electric	523	80	120	79	95	79	70
Electric	405	60	45	70	45	90	95
Electric	540	75	123	67	95	85	95
Electric	295	45	60	32	50	32	76
Electric	497	75	100	63	80	63	116
Electric	275	35	55	40	45	40	60
Electric	405	65	85	70	75	70	40
Electric	515	85	115	80	105	80	50
Electric	330	75	38	38	56	56	67
Electric	460	125	58	58	76	76	67
Electric	319	50	47	50	57	50	65
Electric	472	70	77	60	97	60	108
Electric	471	109	66	84	81	99	32
Dragon	300	58	70	45	40	45	42
Dragon	410	68	90	65	50	55	82
Dragon	600	108	130	95	80	85	102
Dragon	700	108	170	115	120	95	92
Dragon	600	91	134	95	100	100	80
Dragon	490	75	70	90	70	105	80
Dragon	600	95	135	80	110	80	100
Dragon	700	95	145	130	120	90	120
Dragon	590	75	110	110	110	105	80
Dragon	300	41	64	45	50	50	50
Dragon	420	61	84	65	70	70	70
Dragon	300	45	75	60	40	30	50
Dragon	420	65	95	100	60	50	50
Dragon	320	46	87	60	30	40	57
Dragon	410	66	117	70	40	50	67
Dragon	540	76	147	90	60	70	97
Dragon	485	77	120	90	60	90	48
Dragon	300	45	50	35	55	75	40
Dragon	452	68	75	53	83	113	60
Dragon	600	90	100	70	110	150	80
Dragon	634	78	130	111	130	85	100
Dragon	610	90	95	105	165	110	45
Dragon	540	75	95	95	95	95	85
Dragon	630	70	110	75	145	85	145
Dragon	340	50	70	50	50	50	70
Dragon	520	80	100	80	80	80	100
Dragon	300	52	65	50	45	50	38
Dragon	420	72	85	70	65	70	58
Dragon	600	92	105	90	125	90	98
Dragon	494	65	75	90	97	123	44
Dragon	362	58	89	77	45	45	48
Dragon	521	82	121	119	69	59	71
Dragon	245	40	30	35	45	40	55
Dragon	535	85	70	80	97	80	123
